Store,Date, Weekly_Sales ,Holiday_Flag,Temperature, Fuel_Price ,CPI,Unemployment
1,5/2/2010," 1,643,691 ",0,42.31, 2.57 ,211.0963582,8.106
1,12/2/2010," 1,641,957 ",1,38.51, 2.55 ,211.2421698,8.106
1,19-02-2010," 1,611,968 ",0,39.93, 2.51 ,211.2891429,8.106
1,26-02-2010," 1,409,728 ",0,46.63, 2.56 ,211.3196429,8.106
1,5/3/2010," 1,554,807 ",0,46.50, 2.63 ,211.3501429,8.106
1,12/3/2010," 1,439,542 ",0,57.79, 2.67 ,211.3806429,8.106
1,19-03-2010," 1,472,516 ",0,54.58, 2.72 ,211.215635,8.106
1,26-03-2010," 1,404,430 ",0,51.45, 2.73 ,211.0180424,8.106
1,2/4/2010," 1,594,968 ",0,62.27, 2.72 ,210.8204499,7.808
1,9/4/2010," 1,545,419 ",0,65.86, 2.77 ,210.6228574,7.808
1,16-04-2010," 1,466,058 ",0,66.32, 2.81 ,210.4887,7.808
1,23-04-2010," 1,391,256 ",0,64.84, 2.80 ,210.4391228,7.808
1,30-04-2010," 1,425,101 ",0,67.41, 2.78 ,210.3895456,7.808
1,7/5/2010," 1,603,955 ",0,72.55, 2.84 ,210.3399684,7.808
1,14-05-2010," 1,494,252 ",0,74.78, 2.85 ,210.3374261,7.808
1,21-05-2010," 1,399,662 ",0,76.44, 2.83 ,210.6170934,7.808
1,28-05-2010," 1,432,070 ",0,80.44, 2.76 ,210.8967606,7.808
1,4/6/2010," 1,615,525 ",0,80.69, 2.71 ,211.1764278,7.808
1,11/6/2010," 1,542,561 ",0,80.43, 2.67 ,211.4560951,7.808
1,18-06-2010," 1,503,284 ",0,84.11, 2.64 ,211.4537719,7.808
1,25-06-2010," 1,422,712 ",0,84.34, 2.65 ,211.3386526,7.808
1,2/7/2010," 1,492,418 ",0,80.91, 2.67 ,211.2235333,7.787
1,9/7/2010," 1,546,074 ",0,80.48, 2.64 ,211.108414,7.787
1,16-07-2010," 1,448,939 ",0,83.15, 2.62 ,211.1003854,7.787
1,23-07-2010," 1,385,065 ",0,83.36, 2.61 ,211.2351443,7.787
1,30-07-2010," 1,371,987 ",0,81.84, 2.64 ,211.3699032,7.787
1,6/8/2010," 1,605,492 ",0,87.16, 2.63 ,211.5046621,7.787
1,13-08-2010," 1,508,238 ",0,87.00, 2.69 ,211.6394211,7.787
1,20-08-2010," 1,513,080 ",0,86.65, 2.66 ,211.6033633,7.787
1,27-08-2010," 1,449,143 ",0,85.22, 2.62 ,211.5673056,7.787
1,3/9/2010," 1,540,164 ",0,81.21, 2.58 ,211.5312479,7.787
1,10/9/2010," 1,507,461 ",1,78.69, 2.57 ,211.4951902,7.787
1,17-09-2010," 1,430,379 ",0,82.11, 2.58 ,211.5224596,7.787
1,24-09-2010," 1,351,791 ",0,80.94, 2.62 ,211.5972246,7.787
1,1/10/2010," 1,453,330 ",0,71.89, 2.60 ,211.6719895,7.838
1,8/10/2010," 1,508,240 ",0,63.93, 2.63 ,211.7467544,7.838
1,15-10-2010," 1,459,409 ",0,67.18, 2.72 ,211.8137436,7.838
1,22-10-2010," 1,345,454 ",0,69.86, 2.73 ,211.8612937,7.838
1,29-10-2010," 1,384,209 ",0,69.64, 2.72 ,211.9088438,7.838
1,5/11/2010," 1,551,659 ",0,58.74, 2.69 ,211.9563939,7.838
1,12/11/2010," 1,494,479 ",0,59.61, 2.73 ,212.003944,7.838
1,19-11-2010," 1,483,784 ",0,51.41, 2.77 ,211.8896737,7.838
1,26-11-2010," 1,955,624 ",1,64.52, 2.74 ,211.7484333,7.838
1,3/12/2010," 1,548,034 ",0,49.27, 2.71 ,211.607193,7.838
